Player,Team,Mat,runs,No_of_Balls,Runs_per_Match,Hundreds,Fifties,Boundary_percent,SR,Fours,Sixes,boundary_runs,Innings_no_zero,Balls_no_zero,Boundaries,Boundaries_no_zero,Boundary_Percent,Balls_per_boundary,Explosiveness_score
Sai Sudharsan,GT,15,759,487,50.6,1,6,62.98,156.17,88,21,478,15,487,109,109.0,62.97760210803689,4.467889908256881,109.57380105401845
Surya Kumar Yadav,MI,16,717,428,44.8125,0,5,70.29,167.91,69,38,504,16,428,107,107.0,70.29288702928869,4.0,119.10144351464434
Virat Kohli,RCB,15,657,455,43.8,0,8,57.53,144.71,66,19,378,15,455,85,85.0,57.534246575342465,5.352941176470588,101.12212328767123
Shubman Gill,GT,15,650,418,43.333333333333336,0,6,60.31,155.87,62,24,392,15,418,86,86.0,60.30769230769231,4.8604651162790695,108.08884615384616
Mitchell Marsh,LSG,13,627,384,48.23076923076923,1,6,71.13,163.7,56,37,446,13,384,93,93.0,71.1323763955343,4.129032258064516,117.41618819776714
Shreyas Iyer,PBKS,17,604,346,35.529411764705884,0,6,67.22,175.07,43,39,406,17,346,82,82.0,67.21854304635761,4.219512195121951,121.1442715231788
Yashasvi Jaiswal,RR,14,559,351,39.92857142857143,0,6,72.99,159.71,60,28,408,14,351,88,88.0,72.98747763864043,3.9886363636363638,116.34873881932022
Prabhsimran Singh,PBKS,17,549,343,32.294117647058826,0,4,73.59,160.52,56,30,404,17,343,86,86.0,73.58834244080145,3.988372093023256,117.05417122040073
K L Rahul,DC,13,539,361,41.46153846153846,1,3,61.97,149.72,52,21,334,13,361,73,73.0,61.96660482374769,4.945205479452055,105.84330241187385
Jos Buttler,GT,14,538,331,38.42857142857143,0,5,65.43,163.03,52,24,352,14,331,76,76.0,65.4275092936803,4.355263157894737,114.22875464684014
Nicholas Pooran,LSG,14,524,268,37.42857142857143,0,5,80.15,196.25,45,40,420,14,268,85,85.0,80.1526717557252,3.152941176470588,138.2013358778626
Heinrich Klaasen,SRH,13,487,283,37.46153846153846,1,1,65.3,172.69,42,25,318,13,283,67,67.0,65.29774127310061,4.223880597014926,118.9938706365503
Priyansh Arya,PBKS,17,475,266,27.941176470588236,1,2,77.89,179.24,55,25,370,17,266,80,80.0,77.89473684210526,3.325,128.56736842105263
Aiden Markram,LSG,13,445,300,34.23076923076923,0,5,63.82,148.82,38,22,284,13,300,60,60.0,63.82022471910113,5.0,106.32011235955056
Abhishek Sharma,SRH,14,439,228,31.357142857142858,1,2,80.18,193.39,46,28,352,14,228,74,74.0,80.18223234624145,3.081081081081081,136.78611617312072
Rohit Sharma,MI,15,418,281,27.866666666666667,0,4,70.81,149.28,41,22,296,15,281,63,63.0,70.81339712918661,4.4603174603174605,110.0466985645933
Phil Salt,RCB,13,403,230,31.0,0,4,80.4,175.98,48,22,324,13,230,70,70.0,80.39702233250621,3.2857142857142856,128.1885111662531
Riyan Parag,RR,14,393,237,28.071428571428573,0,1,68.7,166.52,27,27,270,14,237,54,54.0,68.70229007633588,4.388888888888889,117.61114503816795
Ajinkya Rahane,KKR,13,390,265,30.0,0,3,67.69,147.72,36,20,264,13,265,56,56.0,67.6923076923077,4.732142857142857,107.70615384615385
Ryan Rickelton,MI,14,388,258,27.714285714285715,0,3,74.74,150.97,47,17,290,14,258,64,64.0,74.74226804123711,4.03125,112.85613402061855
Travis Head,SRH,13,374,231,28.76923076923077,0,3,77.54,162.6,50,15,290,13,231,65,65.0,77.54010695187165,3.5538461538461537,120.07005347593582
Nehal Wadhera,PBKS,16,369,254,23.0625,0,2,64.5,145.84,28,21,238,16,254,49,49.0,64.49864498644986,5.183673469387755,105.16932249322494
Shivam Dube,CSK,14,357,271,25.5,0,1,59.94,132.22,22,21,214,14,271,43,43.0,59.943977591036415,6.3023255813953485,96.08198879551821
Ishan Kishan,SRH,14,354,233,25.285714285714285,1,1,62.71,152.58,33,15,222,14,233,48,48.0,62.71186440677966,4.854166666666667,107.64593220338983
Shashank Singh,PBKS,17,350,229,20.58823529411765,0,3,57.14,153.5,23,18,200,17,229,41,41.0,57.14285714285714,5.585365853658536,105.32142857142857
N Tilak Varma,MI,16,343,249,21.4375,0,2,54.81,138.3,23,16,188,16,249,39,39.0,54.81049562682215,6.384615384615385,96.55524781341109
Dhruv Jurel,RR,14,333,214,23.785714285714285,0,2,66.07,156.33,22,22,220,14,214,44,44.0,66.06606606606607,4.863636363636363,111.19803303303304
Ayush Badoni,LSG,14,329,223,23.5,0,2,58.36,148.19,27,14,192,14,223,41,41.0,58.35866261398176,5.439024390243903,103.27433130699087
Rajat Patidar,RCB,15,312,218,20.8,0,2,58.97,143.77,25,14,184,15,218,39,39.0,58.97435897435898,5.589743589743589,101.3721794871795
